process,seed,forward_mse,reverse_mse,reverse_forward_ratio,abs_log_ratio
reversible_gaussian_ma,0,1.160143445696812,1.1567755641069242,0.997097012785462,0.0029072090545332065
reversible_gaussian_ma,1,1.117399651690094,1.1145026675635803,0.9974073876592571,0.0025959789803040563
reversible_gaussian_ma,2,1.1562546752728948,1.1601099922739606,1.0033343147349054,0.003328768233298036
reversible_gaussian_ma,3,1.1439800685916242,1.142974773657621,0.9991212303766439,0.0008791559677366103
reversible_gaussian_ma,4,1.1429711480761067,1.1534685917585688,1.0091843470415958,0.00914242740050458
reversible_gaussian_ma,5,1.113490792711904,1.1132479966488755,0.9997819505427278,0.00021807323351145323
reversible_gaussian_ma,6,1.1327156195185777,1.1331561809035386,1.0003889426236996,0.0003888670051242194
reversible_gaussian_ma,7,1.1730223034063032,1.1774825889950271,1.0038023877088882,0.0037951769058096134
reversible_gaussian_ma,8,1.1585967237536186,1.1606998801031316,1.0018152617786622,0.001813616182157665
reversible_gaussian_ma,9,1.1386341644093032,1.1481866071039337,1.0083893870333551,0.008354391715906096
irreversible_nongaussian_ma,0,1.141723019925586,1.03108901276471,0.9030990833765561,0.10192300470036912
irreversible_nongaussian_ma,1,1.0579719849273057,0.9627394931902244,0.9099858095546597,0.09432627348880575
irreversible_nongaussian_ma,2,1.1383158674746907,1.0395366960900971,0.9132234081883341,0.09077473150966947
irreversible_nongaussian_ma,3,1.0613854165628827,0.9887542253000484,0.9315694467538116,0.07088453803852429
irreversible_nongaussian_ma,4,1.1194827627825243,1.0153894702572912,0.9070166187583768,0.0975945062582598
irreversible_nongaussian_ma,5,1.08414145333089,0.977837168216335,0.9019461115632575,0.10320050398219908
irreversible_nongaussian_ma,6,1.136284886103958,1.0403794808023399,0.9155973942147076,0.08817853689433308
irreversible_nongaussian_ma,7,1.0840157121526632,1.0093201762305102,0.93109367780858,0.07139538613478431
irreversible_nongaussian_ma,8,1.0715071574805868,0.9814106360078739,0.9159160805938479,0.08783053357714232
irreversible_nongaussian_ma,9,1.0961417041074384,1.0074722064964377,0.9191076324541432,0.08435204438300375
